Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13,0.056000732424996535,0.06423620854049365,0.056000732424996535,0.061490628868341446,1031788800,0.0,0.0
1986-03-14,0.06149063555103635,0.06478520522557112,0.06149063555103635,0.06368659436702728,308160000,0.0,0.0
1986-03-17,0.06368660130022276,0.0653342020421292,0.06368660130022276,0.06478521227836609,133171200,0.0,0.0
1986-03-18,0.06478520637817792,0.06533419609194284,0.06258861607255863,0.06313760578632355,67766400,0.0,0.0
1986-03-19,0.06313758155400753,0.0636865710570693,0.06149061304482221,0.06203960254788399,47894400,0.0,0.0
1986-03-20,0.062039636005481034,0.062039636005481034,0.059843676808966545,0.06039266660809517,58435200,0.0,0.0
1986-03-21,0.06039265504692374,0.06149063443499105,0.057647706576755456,0.05874568596482277,59990400,0.0,0.0
1986-03-24,0.05874569706663893,0.05874569706663893,0.0565497378755099,0.05709872767329216,65289600,0.0,0.0
1986-03-25,0.05709873259507237,0.05819671228528023,0.05654974274996845,0.05819671228528023,32083200,0.0,0.0
1986-03-26,0.058196726710302384,0.06039268663502311,0.057647736729122205,0.059843696653842926,22752000,0.0,0.0
1986-03-27,0.05984367927066602,0.0609416589140892,0.05984367927066602,0.0609416589140892,16848000,0.0,0.0
1986-03-31,0.060941656407223786,0.060941656407223786,0.05929468700983792,0.06039266660809517,12873600,0.0,0.0
1986-04-01,0.06039268663502311,0.06039268663502311,0.059843696653842926,0.059843696653842926,11088000,0.0,0.0
1986-04-02,0.059843676808966545,0.06149064620635241,0.059843676808966545,0.06039266660809517,27014400,0.0,0.0
1986-04-03,0.0609416589140892,0.06258862837922398,0.0609416589140892,0.0609416589140892,23040000,0.0,0.0
1986-04-04,0.0609416589140892,0.06149064873580079,0.0609416589140892,0.0609416589140892,26582400,0.0,0.0
1986-04-07,0.06094167661620329,0.061490666597383475,0.05874571669148256,0.059843696653842926,16560000,0.0,0.0
1986-04-08,0.059843676808966545,0.06149064620635241,0.059843676808966545,0.06039266660809517,10252800,0.0,0.0
1986-04-09,0.06039264957967246,0.062039618512675934,0.06039264957967246,0.061490628868341446,12153600,0.0,0.0
1986-04-10,0.06149061304482221,0.06258859205094576,0.06039263403869866,0.06203960254788399,13881600,0.0,0.0
1986-04-11,0.06258861607255863,0.064236216664413,0.06258861607255863,0.06313760578632355,17222400,0.0,0.0
1986-04-14,0.06313760466302955,0.06423621552157338,0.06313760466302955,0.06368659436702728,12153600,0.0,0.0
1986-04-15,0.06368659436702728,0.06368659436702728,0.06149063555103635,0.06368659436702728,9302400,0.0,0.0
1986-04-16,0.06368660621516521,0.06643218669648494,0.06313761640903442,0.06588319689035416,31910400,0.0,0.0
1986-04-17,0.0658831882860443,0.0664321780204773,0.0658831882860443,0.0664321780204773,22003200,0.0,0.0
1986-04-18,0.06643219049844223,0.06643219049844223,0.06368660985999115,0.06423623114824295,21628800,0.0,0.0
1986-04-21,0.06423623114824295,0.06478522098579277,0.06258863018489151,0.06423623114824295,22924800,0.0,0.0
1986-04-22,0.064236216664413,0.064236216664413,0.06313760578632355,0.06313760578632355,15552000,0.0,0.0
1986-04-23,0.0631376520781802,0.06368664219445885,0.06258866196190155,0.063412144780159,15609600,0.0,0.0
1986-04-24,0.06341210115472712,0.07082409643246398,0.06313760864159011,0.0697261169552803,62352000,0.0,0.0
1986-04-25,0.0702750925997972,0.07713809676252717,0.0702750925997972,0.07411865144968033,85795200,0.0,0.0
1986-04-28,0.07411865040959904,0.07521662965116908,0.07356902933836136,0.07466764003038406,28886400,0.0,0.0
1986-04-29,0.07466763473546333,0.07466763473546333,0.07192205537578338,0.07247104495763779,30326400,0.0,0.0
