,0
488,ESV
489,ETAK
490,ETF
491,ETFC
492,ETH
493,ETM
494,ETRM
495,EV
496,EVAR
497,EVBS
498,EVDY
499,EVEP
500,EVJ
501,EVRY
502,EWCS
503,EWHS
504,EWSS
505,EXA
506,EXAM
507,EXAR
508,EXL
509,EXLP
510,EXXI
511,FAC
512,FAV
513,FBNK
514,FBSS
515,FCAU
516,FCE
517,FCH
518,FCHI
519,FCLF
520,FCS
521,FCSC
522,FDEF
523,FDI
524,FDML
525,FDO
526,FEIC
527,FELP
528,FES
529,FFG
530,FGP
531,FHCO
532,FHY
533,FIG
534,FISH
535,FLIR
536,FLML
537,FLTX
538,FLY
539,FMD
540,FMER
541,FNBC
542,FNFG
543,FNFV
544,FNJN
545,FNSR
546,FOMX
547,FPO
548,FPRX
549,FRAN
550,FRED
551,FRP
552,FRS
553,FSAM
554,FSBK
555,FSC
556,FSGI
557,FSIC
558,FSL
559,FSNN
560,FSRV
561,FSYS
562,FTD
563,FTR
564,FTT
565,FUEL
566,FULL
567,FUR
568,FWM
569,FWV
570,FXCB
571,FXCM
572,GAINO
573,GALTU
574,GARS
575,GBSN
576,GCA
577,GCAP
578,GCVRZ
579,GDAY
580,GDEF
581,GDF
582,GEVA
583,GFIG
584,GFNCP
585,GFY
586,GG
587,GGAC
588,GGE
589,GGOV
590,GGP
591,GHDX
592,GHI
593,GIMO
594,GKNT
595,GLDC
596,GLDX
597,GLOG
598,GLPW
599,GLUU
600,GMCR
601,GMFS
602,GMK
603,GMLP
604,GMO
605,GMT
606,GMZ
607,GNC
608,GNMK
609,GNVC
610,GOMO
611,GOODP
612,GOV
613,GPIC
614,GRAM
615,GRH
616,GRIF
617,GRO
618,GSB
619,GSH
620,GSI
621,GSOL
622,GST
623,GSVC
624,GTI
625,GTIV
626,GTT
627,GTU
628,GTWN
629,GTXI
630,GUID
631,GUR
632,GURX
633,GWPH
634,GWR
635,GY
636,GZT
637,HABT
638,HAWKB
639,HBHC
640,HBK
641,HBNK
642,HBOS
643,HCAC
644,HCAP
645,HCBK
646,HCLP
647,HCN
648,HCP
649,HDRA
650,HDRAU
651,HDS
652,HDY
653,HEB
654,HELI
655,HEOP
656,HF
657,HFBC
658,HFFC
659,HGG
660,HGR
661,HGT
662,HH
663,HHS
664,HIIQ
665,HILL
666,HK
667,HKOR
